lon,lat
-124.158895,40.7895569
-124.1026447,40.94829989999999
-124.1612612,40.7886862
-124.191964,40.7684735
-124.0853123,40.8699965
-124.157677,40.7760793
-124.1009363,40.9395028
-124.1096898,40.988579
-124.087837,40.8900832
-124.1141313,40.9416402
-124.1920564,40.7663465
-124.0867565,40.8652502
-124.090753,40.883424
-124.0863955,40.8931923
-124.0949228,40.8756939
-124.0860917,40.8829104
-124.0795918,40.8909147
-124.1515697,40.7912777
-124.0392572,40.97019299999999
-124.0829607,40.8725007
-124.080991,40.879818
-124.1445014,40.8039891
-124.1268476,40.5609466
-124.090753,40.883424
-124.1581617,40.802147
-124.1908841,40.7747448
-123.9954895,40.87913959999999
-124.0914222,40.8717646
-124.1760549,40.7951408
-124.1141313,40.9416402
-123.9930174,40.8828634
-124.090753,40.883424
-124.1408696,41.0613826
-124.1510078,40.7806046
-124.0914222,40.8717646
-124.0861503,40.880321
-124.1609459,40.8046395
-124.1081166,40.7776156
-124.0852773,40.8854878
-124.0795918,40.8909147
-124.0863659,40.8702525
-124.0976419,40.8667627
-124.148062,40.8038628
-124.0914222,40.8717646
-124.0884346,40.8736857
-124.1920564,40.7663465
-124.1074384,40.7776251
-124.0863955,40.8931923
-124.1515697,40.7912777
-124.1057387,40.9490212
-124.0863659,40.8702525
-124.1057387,40.9490212
-124.1515587,40.79127769999999
-124.1142713,40.9343124
-124.0761091,40.87307
-124.1009363,40.9395028
-124.0837481,40.8628909
-124.1328653,40.8051134
-124.1445014,40.8039891
-124.0795918,40.8909147
-124.0860917,40.8829104
-124.1404676,41.0623198
-124.1049581,40.8735043
-124.0853123,40.8699965
-124.0852773,40.8854878
-124.0795918,40.8909147
-123.99185,40.87907
-124.1397653,41.0596298
-124.1600775,40.7904516
-124.0860917,40.8829104
-124.103043,40.9617468
-124.0863659,40.8702525
-124.1613958,40.77120559999999
-124.1049581,40.8735043
-124.0837481,40.8628909
-124.1328653,40.8051134
-124.0914222,40.8717646
-124.0914222,40.8717646
-124.0863955,40.8931923
-124.0829607,40.8725007
-124.1454153,40.7984594
-124.1397653,41.0596298
-123.9955908,40.8675635
-124.138754,40.5774934
-124.15745,41.0979632
-124.1581333,40.7904373
-124.0718937,40.9613695
-124.090753,40.883424
-124.1431509,41.0584764
-124.157878,40.7803619
-124.1747856,40.7781827
-124.087213,40.8649389
-124.1397633,40.5928289
-124.090753,40.883424
-124.1279616,40.57392780000001
-124.0718937,40.9613695
-124.1624951,40.8015495
-124.0885001,40.861525
-124.1456576,40.5963869
-124.1631198,40.79471909999999
-124.138754,40.5774934
-124.1009696,40.9483062
-124.152979,40.80282950000001
-123.9911559,40.8840735
-124.1399422,41.061808
-124.1142713,40.9343124
-124.1141313,40.9416402
-124.0718937,40.9613695
-124.1009696,40.9483062
-124.1626949,40.8023871
-124.138754,40.5774934
-124.1009696,40.9483062
-124.160188,40.7803861
-124.1279616,40.57392780000001
-124.138754,40.5774934
-124.1008478,40.9562652
-124.1590166,40.7803675
-124.1279616,40.57392780000001
-123.9911559,40.8840735
-123.9950404,40.8821764
-124.1454059,41.0584395
-124.1615871,40.8025366
-124.0718937,40.9613695
-123.9950404,40.8821764
-124.1142241,40.7864098
-124.1626949,40.8023871
-124.1009696,40.9483062
-124.0718937,40.9613695
-124.1454059,41.0584395
-124.0718937,40.9613695
-124.0807088,40.8812851
-124.1456576,40.5963869
-124.1397633,40.5928289
-124.1141313,40.9416402
-124.138754,40.5774934
-124.1141313,40.9416402
-124.0885001,40.861525
-123.9955908,40.8675635
-124.1399422,41.061808
-123.9950404,40.8821764
-123.8695086,40.7450055
-124.138754,40.5774934
-124.16029,40.8018484
-124.15745,41.0979632
-124.1404676,41.0623198
-124.1141313,40.9416402
-124.0718937,40.9613695
-123.9950404,40.8821764
-124.076954,40.87119690000001
-124.1009677,40.9421123
-124.138754,40.5774934
-124.15745,41.0979632
-124.1454059,41.0584395
-124.1454059,41.0584395
-124.1430861,41.0609486
-124.1454059,41.0584395
-124.160188,40.7803861
-124.1581333,40.7904373
-123.9955908,40.8675635
-124.138754,40.5774934
-124.087213,40.8649389
-124.1454059,41.0584395
-124.1620654,40.7949385
-124.1141313,40.9416402
-123.9911559,40.8840735
-124.15745,41.0979632
-124.1399422,41.061808
-124.1009696,40.9483062
-123.9950404,40.8821764
-123.9950404,40.8821764
-124.1581333,40.7904373
-124.1397633,40.5928289
-124.0718937,40.9613695
-124.138754,40.5774934
-123.9955908,40.8675635
-124.16029,40.8018484
-123.8695086,40.7450055
-124.1604822,40.8026919
-124.1141313,40.9416402
-123.9950404,40.8821764
-124.0807088,40.8812851
-124.1008478,40.9562652
