SPCD,DO_BH,HT_TOT,TT_DW_CRM,COMMON_NAME
12,9.4,59.0,355.16,balsam fir 
12,8.1,59.0,285.6,balsam fir 
12,12.7,72.0,807.09,balsam fir 
12,11.5,69.0,611.36,balsam fir 
12,10.2,62.0,480.54,balsam fir 
12,10.4,65.0,470.07,balsam fir 
12,10.0,62.0,439.01,balsam fir 
12,10.4,50.0,452.85,balsam fir 
12,6.5,51.0,165.87,balsam fir 
12,8.0,50.0,246.94,balsam fir 
12,10.5,58.0,491.38,balsam fir 
12,12.7,69.0,778.0,balsam fir 
12,12.2,67.0,726.52,balsam fir 
12,10.3,59.0,473.9,balsam fir 
12,8.7,59.0,330.47,balsam fir 
12,10.7,51.0,477.53,balsam fir 
12,10.9,68.0,552.02,balsam fir 
12,8.9,45.0,304.62,balsam fir 
12,10.6,60.0,514.83,balsam fir 
12,9.4,56.0,377.32,balsam fir 
12,1.7,15.1,4.37,balsam fir 
12,3.8,36.6,30.95,balsam fir 
12,5.3,40.6,68.88,balsam fir 
12,7.1,47.1,166.58,balsam fir 
12,1.6,13.4,3.78,balsam fir 
12,3.2,28.4,20.3,balsam fir 
12,5.6,45.8,87.24,balsam fir 
12,7.0,48.2,162.83,balsam fir 
12,6.5,38.8,120.17,balsam fir 
12,4.6,37.9,49.53,balsam fir 
12,2.6,17.6,12.22,balsam fir 
12,2.5,20.5,11.1,balsam fir 
12,1.0,10.5,1.28,balsam fir 
12,3.6,38.7,27.1,balsam fir 
12,1.6,10.6,3.78,balsam fir 
12,9.6,68.8,407.05,balsam fir 
12,15.9,89.7,1377.01,balsam fir 
12,4.5,43.0,46.92,balsam fir 
12,10.6,65.1,493.23,balsam fir 
12,7.1,57.6,184.79,balsam fir 
12,1.0,9.9,1.28,balsam fir 
12,10.3,60.5,446.38,balsam fir 
12,5.3,47.5,74.96,balsam fir 
12,6.8,55.9,163.53,balsam fir 
12,8.4,58.1,276.48,balsam fir 
12,8.5,54.4,274.75,balsam fir 
12,10.4,62.0,461.63,balsam fir 
12,7.8,54.7,225.63,balsam fir 
12,3.4,41.4,23.55,balsam fir 
12,6.2,48.5,119.71,balsam fir 
12,3.4,33.1,23.55,balsam fir 
12,1.5,15.2,3.24,balsam fir 
12,8.7,53.4,287.01,balsam fir 
12,4.9,43.2,57.87,balsam fir 
12,5.6,35.6,75.92,balsam fir 
12,7.1,46.6,165.64,balsam fir 
12,10.9,53.8,476.2,balsam fir 
12,12.1,64.4,654.41,balsam fir 
12,6.1,52.9,119.84,balsam fir 
12,8.0,54.4,238.77,balsam fir 
12,10.2,62.8,445.12,balsam fir 
12,5.8,45.2,96.02,balsam fir 
12,8.0,55.5,241.22,balsam fir 
12,11.5,63.5,582.05,balsam fir 
12,11.9,61.0,614.36,balsam fir 
12,8.9,51.9,297.82,balsam fir 
12,6.9,51.2,162.15,balsam fir 
12,6.1,51.5,118.21,balsam fir 
12,7.4,56.5,202.36,balsam fir 
12,8.6,57.0,289.01,balsam fir 
12,5.2,51.6,73.48,balsam fir 
12,8.5,49.3,223.98,balsam fir 
12,6.4,50.0,121.52,balsam fir 
12,4.5,32.5,46.92,balsam fir 
12,4.1,32.3,37.31,balsam fir 
12,2.5,16.9,11.1,balsam fir 
12,1.3,9.0,2.32,balsam fir 
12,8.5,40.2,199.66,balsam fir 
12,4.2,35.8,39.59,balsam fir 
12,6.8,28.7,107.36,balsam fir 
12,2.2,17.7,8.14,balsam fir 
12,3.3,19.8,21.89,balsam fir 
12,11.2,57.5,440.86,balsam fir 
12,3.3,20.2,21.89,balsam fir 
12,1.7,13.1,4.37,balsam fir 
12,14.0,75.0,847.75,balsam fir 
